url_length,num_dots,num_hyphens,uses_ip_domain,has_at_symbol,uses_https,num_subdomains,suspicious_keyword_count,uses_punycode,domain_entropy,has_password_field,num_forms,external_form_action,num_iframes,external_links_ratio,has_hidden_inputs,label
38,3,0,0,0,1,1,0,0,2.25,0,0,0,0,0.0,0,1
39,1,1,0,0,1,0,0,0,2.75,0,0,0,0,0.0,0,0
41,2,1,0,0,1,1,0,0,3.252,0,0,0,0,0.0,0,1
40,2,0,0,0,0,1,0,0,3.578,0,0,0,0,0.0,0,1
19,1,0,0,0,1,0,0,0,2.725,0,0,0,0,0.0,0,0
39,2,1,0,0,0,1,0,0,3.75,0,0,0,0,0.0,0,1
43,1,0,0,0,1,0,0,0,3.085,0,0,0,0,0.0,0,0
43,2,1,0,0,1,1,0,0,3.252,0,0,0,0,0.0,0,1
39,2,0,0,0,0,1,0,0,3.578,0,0,0,0,0.0,0,1
31,2,2,0,0,1,1,0,0,2.5,0,0,0,0,0.0,0,1
46,1,1,0,0,1,0,1,0,2.419,0,0,0,0,0.0,0,0
48,2,0,0,0,1,1,0,0,3.789,0,0,0,0,0.0,0,1
34,2,2,0,0,1,1,0,0,3.584,0,0,0,0,0.0,0,1
40,1,0,0,0,1,0,0,0,2.75,0,0,0,0,0.0,0,0
30,1,1,0,0,1,0,0,0,3.252,0,0,0,0,0.0,0,0
57,1,0,0,0,1,0,0,0,2.948,0,0,0,0,0.0,0,0
39,2,0,0,0,1,1,0,0,3.393,0,0,0,0,0.0,0,1
47,2,2,0,0,1,1,0,0,2.503,0,0,0,0,0.0,0,1
54,1,3,0,0,1,0,0,0,3.322,0,0,0,0,0.0,0,0
34,2,0,0,0,0,1,0,0,2.922,0,0,0,0,0.0,0,1
23,1,0,0,0,1,0,0,0,3.335,0,0,0,0,0.0,0,0
37,2,0,0,0,0,1,0,0,3.181,0,0,0,0,0.0,0,1
64,1,1,0,0,1,0,0,0,3.522,0,0,0,0,0.0,0,0
41,2,2,0,0,0,1,0,0,3.252,0,0,0,0,0.0,0,1
27,2,0,0,0,0,1,0,0,2.922,0,0,0,0,0.0,0,1
44,1,1,0,0,1,0,1,0,2.522,0,0,0,0,0.0,0,0
53,1,0,0,0,1,0,0,0,2.156,0,0,0,0,0.0,0,0
19,1,0,0,0,1,0,0,0,2.503,0,0,0,0,0.0,0,0
47,1,2,0,0,1,0,0,0,3.393,0,0,0,0,0.0,0,0
35,1,2,0,0,1,0,1,0,3.584,0,0,0,0,0.0,0,1
20,1,0,0,0,1,0,0,0,3.122,0,0,0,0,0.0,0,0
318,2,27,0,0,1,1,0,0,3.085,0,0,0,0,0.0,0,1
34,2,0,0,0,1,0,0,0,3.239,0,0,0,0,0.0,0,1
20,1,0,0,0,1,0,0,0,2.922,0,0,0,0,0.0,0,0
44,2,3,0,0,1,1,0,0,3.252,0,0,0,0,0.0,0,1
23,1,0,0,0,1,0,0,0,3.393,0,0,0,0,0.0,0,0
40,1,0,0,0,1,0,0,0,2.503,0,0,0,0,0.0,0,0
86,2,0,0,0,1,1,0,0,4.089,0,0,0,0,0.0,0,1
42,1,0,0,0,1,0,0,0,3.122,0,0,0,0,0.0,0,1
30,1,1,0,0,1,0,0,0,2.855,0,0,0,0,0.0,0,0
17,1,0,0,0,1,0,0,0,2.522,0,0,0,0,0.0,0,0
26,1,2,0,0,1,0,0,0,2.75,0,0,0,0,0.0,0,0
22,1,0,0,0,1,0,0,0,3.085,0,0,0,0,0.0,0,0
