url_length,num_dots,num_hyphens,uses_ip_domain,has_at_symbol,uses_https,num_subdomains,suspicious_keyword_count,uses_punycode,domain_entropy,has_password_field,num_forms,external_form_action,num_iframes,external_links_ratio,has_hidden_inputs,label
37,2,1,0,0,1,1,0,0,3.6573,0,0,0,0,0.0,0,1
18,1,1,0,0,1,0,0,0,2.9477,0,0,0,0,0.0,0,0
27,1,0,0,0,1,0,0,0,3.7255,0,0,0,0,0.0,0,1
38,1,0,0,0,1,0,0,0,3.085,0,0,0,0,0.0,0,1
19,1,0,0,0,1,0,0,0,2.9219,0,0,0,0,0.0,0,0
43,2,0,0,0,1,1,0,0,4.036,0,0,0,0,0.0,0,1
22,1,0,0,0,1,0,0,0,3.2389,0,0,0,0,0.0,0,0
41,2,2,0,0,1,1,0,0,4.0306,0,0,0,0,0.0,0,1
38,1,0,0,0,1,0,0,0,3.085,0,0,0,0,0.0,0,1
40,2,0,0,0,1,1,0,0,3.7844,0,0,0,0,0.0,0,1
19,1,0,0,0,1,0,0,0,2.6464,0,0,0,0,0.0,0,0
84,2,0,0,0,0,1,0,0,4.375,0,0,0,0,0.0,0,1
41,2,1,0,0,0,1,0,0,4.027,0,0,0,0,0.0,0,1
18,1,0,0,0,1,0,0,0,2.9477,0,0,0,0,0.0,0,0
22,1,0,0,0,1,0,0,0,3.3927,0,0,0,0,0.0,0,0
19,1,0,0,0,1,0,0,0,3.1219,0,0,0,0,0.0,0,0
50,1,0,0,0,1,0,0,0,3.3219,0,0,0,0,0.0,0,1
19,1,0,0,0,1,0,0,0,3.0958,0,0,0,0,0.0,0,1
20,1,1,0,0,1,0,0,0,3.4594,0,0,0,0,0.0,0,0
19,1,0,0,0,1,0,0,0,2.914,0,0,0,0,0.0,0,1
23,1,0,0,0,1,0,0,0,3.4677,0,0,0,0,0.0,0,0
55,2,0,0,0,1,1,0,0,3.7849,0,0,0,0,0.0,0,1
30,1,0,0,0,1,0,0,0,3.6304,0,0,0,0,0.0,0,0
27,2,0,0,0,0,1,0,0,3.5111,0,0,0,0,0.0,0,1
33,2,0,0,0,0,1,0,0,3.6133,0,0,0,0,0.0,0,1
17,1,0,0,0,1,0,0,0,2.75,0,0,0,0,0.0,0,0
18,1,0,0,0,1,0,0,0,2.4194,0,0,0,0,0.0,0,0
19,1,0,0,0,1,0,0,0,2.7219,0,0,0,0,0.0,0,0
23,1,0,0,0,1,0,0,0,3.5216,0,0,0,0,0.0,0,0
46,3,1,0,0,0,2,0,0,4.2655,0,0,0,0,0.0,0,1
20,1,0,0,0,1,0,0,0,3.2776,0,0,0,0,0.0,0,0
40,2,1,0,0,0,1,0,0,4.329,0,0,0,0,0.0,0,1
43,2,1,0,0,0,1,0,0,3.9899,0,0,0,0,0.0,0,1
20,1,0,0,0,1,0,0,0,3.0958,0,0,0,0,0.0,0,0
44,2,0,0,0,0,1,0,0,3.9254,0,0,0,0,0.0,0,1
23,1,0,0,0,1,0,0,0,3.5216,0,0,0,0,0.0,0,0
19,1,0,0,0,1,0,0,0,2.7219,0,0,0,0,0.0,0,0
35,1,1,0,0,1,0,0,0,3.6402,0,0,0,0,0.0,0,1
33,2,0,0,0,1,1,0,0,3.4387,0,0,0,0,0.0,0,1
22,1,0,0,0,1,0,0,0,3.027,0,0,0,0,0.0,0,0
17,1,0,0,0,1,0,0,0,2.75,0,0,0,0,0.0,0,0
18,1,1,0,0,1,0,0,0,2.9477,0,0,0,0,0.0,0,0
22,1,0,0,0,1,0,0,0,3.2389,0,0,0,0,0.0,0,0
18,1,0,0,0,1,0,0,0,2.7255,0,0,0,0,0.0,0,0
28,2,0,0,0,1,1,0,0,3.5111,0,0,0,0,0.0,0,1
17,1,1,0,0,1,0,0,0,3.0,0,0,0,0,0.0,0,0
22,1,0,0,0,1,0,0,0,3.3927,0,0,0,0,0.0,0,0
21,1,0,0,0,1,0,0,0,3.585,0,0,0,0,0.0,0,0
41,2,0,0,0,1,1,0,0,3.7821,0,0,0,0,0.0,0,1
26,1,0,0,0,1,0,0,0,3.2484,0,0,0,0,0.0,0,0
22,1,0,0,0,1,0,0,0,3.3927,0,0,0,0,0.0,0,0
23,1,0,0,0,1,0,0,0,3.0931,0,0,0,0,0.0,0,0
21,1,0,0,0,1,0,0,0,3.0221,0,0,0,0,0.0,0,0
